main_command	description	commands	raw_text
ad	[kt] [...]	"[{""command"": ""ad [N] [D]"", ""description"": ""analyze N data words at D depth""}, {""command"": ""ad4 [N] [D]"", ""description"": ""analyze N data words at D depth (asm.bits=32)""}, {""command"": ""ad8 [N] [D]"", ""description"": ""analyze N data words at D depth (asm.bits=64)""}, {""command"": ""adf"", ""description"": ""analyze data in function (use like .adf @@=`afl~[0]`""}, {""command"": ""adfg"", ""description"": ""analyze data in function gaps""}, {""command"": ""adt"", ""description"": ""analyze data trampolines (wip)""}, {""command"": ""adk"", ""description"": ""analyze data kind (code, text, data, invalid, ...)""}]"	"Usage: ad  [kt] [...]
| ad [N] [D]   analyze N data words at D depth
| ad4 [N] [D]  analyze N data words at D depth (asm.bits=32)
| ad8 [N] [D]  analyze N data words at D depth (asm.bits=64)
| adf          analyze data in function (use like .adf @@=`afl~[0]`
| adfg         analyze data in function gaps
| adt          analyze data trampolines (wip)
| adk          analyze data kind (code, text, data, invalid, ...)"
ae[idesr?] [arg]	ESIL code emulation	"[{""command"": ""ae [expr]"", ""description"": ""evaluate ESIL expression""}, {""command"": ""ae! [file]"", ""description"": ""compile esil file into an esil expression""}, {""command"": ""ae?"", ""description"": ""show this help""}, {""command"": ""ae??"", ""description"": ""show ESIL help""}, {""command"": ""aea[f] [count]"", ""description"": ""analyse n esil instructions accesses (regs, mem..)""}, {""command"": ""aeA[f] [count]"", ""description"": ""analyse n bytes for their esil accesses (regs, mem..)""}, {""command"": ""aeb ([addr])"", ""description"": ""emulate block in current or given address""}, {""command"": ""aeC[arg0 arg1..] @ addr"", ""description"": ""appcall in esil""}, {""command"": ""aec[?]"", ""description"": ""continue until ^C""}, {""command"": ""aef [addr]"", ""description"": ""emulate function""}, {""command"": ""aefa [addr]"", ""description"": ""emulate function to find out args in given or current offset""}, {""command"": ""aeg [expr]"", ""description"": ""esil data flow graph""}, {""command"": ""aegf [expr] [register]"", ""description"": ""esil data flow graph filter""}, {""command"": ""aei[?]"", ""description"": ""initialize ESIL VM state (aei- to deinitialize)""}, {""command"": ""aek[?] [query]"", ""description"": ""perform sdb query on ESIL.info""}, {""command"": ""aeL[?][-] [name]"", ""description"": ""list ESIL plugins""}, {""command"": ""aep[?] [addr]"", ""description"": ""manage esil pin hooks (see 'e cmd.esil.pin')""}, {""command"": ""aepc [addr]"", ""description"": ""change esil PC to this address""}, {""command"": ""aer[?] [..]"", ""description"": ""handle ESIL registers like 'ar' or 'dr' does""}, {""command"": ""aes[?]"", ""description"": ""perform emulated debugger step""}, {""command"": ""aet[?][s]"", ""description"": ""esil trace listing and session management (requires aeim)""}, {""command"": ""aev [esil]"", ""description"": ""visual esil debugger for the given expression or current instruction""}, {""command"": ""aex [hex]"", ""description"": ""evaluate opcode expression""}, {""command"": ""Examples:aec"", ""description"": ""continue until ^c""}, {""command"": ""aec"", ""description"": ""continue until exception""}, {""command"": ""aecs"", ""description"": ""continue until syscall""}, {""command"": ""aecc"", ""description"": ""continue until call""}, {""command"": ""aecu[addr]"", ""description"": ""continue until address""}, {""command"": ""aecue[addr]"", ""description"": ""continue until esil expression""}]"	"Usage: ae[idesr?] [arg]  ESIL code emulation
| ae [expr]                evaluate ESIL expression
| ae! [file]               compile esil file into an esil expression
| ae?                      show this help
| ae??                     show ESIL help
| aea[f] [count]           analyse n esil instructions accesses (regs, mem..)
| aeA[f] [count]           analyse n bytes for their esil accesses (regs, mem..)
| aeb ([addr])             emulate block in current or given address
| aeC[arg0 arg1..] @ addr  appcall in esil
| aec[?]                   continue until ^C
| aef [addr]               emulate function
| aefa [addr]              emulate function to find out args in given or current offset
| aeg [expr]               esil data flow graph
| aegf [expr] [register]   esil data flow graph filter
| aei[?]                   initialize ESIL VM state (aei- to deinitialize)
| aek[?] [query]           perform sdb query on ESIL.info
| aeL[?][-] [name]         list ESIL plugins
| aep[?] [addr]            manage esil pin hooks (see 'e cmd.esil.pin')
| aepc [addr]              change esil PC to this address
| aer[?] [..]              handle ESIL registers like 'ar' or 'dr' does
| aes[?]                   perform emulated debugger step
| aet[?][s]                esil trace listing and session management (requires aeim)
| aev [esil]               visual esil debugger for the given expression or current instruction
| aex [hex]                evaluate opcode expression
| Examples:aec   continue until ^c
| aec          continue until exception
| aecs         continue until syscall
| aecc         continue until call
| aecu[addr]   continue until address
| aecue[addr]  continue until esil expression"
aei	[smp] [...]	"[{""command"": ""aei"", ""description"": ""initialize ESIL VM state (aei- to deinitialize)""}, {""command"": ""aeis argc [argv] [envp]"", ""description"": ""initialize entrypoint stack environment""}, {""command"": ""aeim [addr] [size] [name]"", ""description"": ""initialize ESIL VM stack (aeim- remove)""}, {""command"": ""aeip"", ""description"": ""initialize ESIL program counter to curseek""}]"	"Usage: aei  [smp] [...]
| aei                        initialize ESIL VM state (aei- to deinitialize)
| aeis argc [argv] [envp]    initialize entrypoint stack environment
| aeim [addr] [size] [name]  initialize ESIL VM stack (aeim- remove)
| aeip                       initialize ESIL program counter to curseek"
aeim	[addr] [size] [name] - initialize the ESIL VM stack	"[{""command"": ""aeim"", ""description"": ""initialize esil memory with default values from esil.stack.* evals""}, {""command"": ""aeim 0x10000"", ""description"": ""same as aeim@e:esil.stack.addr=0x10000""}, {""command"": ""aeim 0x10000 2M mystack"", ""description"": ""give a name to that new 2MB stack""}]"	"Usage: aeim   [addr] [size] [name] - initialize the ESIL VM stack
| aeim                     initialize esil memory with default values from esil.stack.* evals
| aeim 0x10000             same as aeim@e:esil.stack.addr=0x10000
| aeim 0x10000 2M mystack  give a name to that new 2MB stack"
aek		"[{""command"": ""aek"", ""description"": ""dump the esil.stats database contents""}, {""command"": ""aek sdb.query"", ""description"": ""evaluate sdb query on esil.stats db""}, {""command"": ""aek-"", ""description"": ""clear the esil.stats sdb instance""}]"	"Usage: aek    [...]
| aek            dump the esil.stats database contents
| aek sdb.query  evaluate sdb query on esil.stats db
| aek-           clear the esil.stats sdb instance"
aep[-*c]		"[{""command"": ""aepc [addr]"", ""description"": ""change program counter for esil""}, {""command"": ""aep*"", ""description"": ""list pins in r2 commands""}, {""command"": ""aep-*"", ""description"": ""remove all pins""}, {""command"": ""aep-[addr]"", ""description"": ""remove pin""}, {""command"": ""aep-[name]"", ""description"": ""remove pin command""}, {""command"": ""aepa ([addr])"", ""description"": ""auto set pin in current or given address by flag name (see aaep)""}, {""command"": ""aep [name] @ [addr]"", ""description"": ""set pin""}, {""command"": ""aep memcpy=wf `dr?A1` `dr?A2` @r:A0"", ""description"": ""override esil.cmd.pin for this pin name""}, {""command"": ""aep soft.show.r9=dr?r9"", ""description"": ""set a 'soft.' esil pin, only executed in the disasm loop""}, {""command"": ""aep"", ""description"": ""list pins""}, {""command"": ""aep."", ""description"": ""show pin name in current address if any""}, {""command"": ""aepk [query]"", ""description"": ""kuery the sdb of pins""}]"	"Usage: aep[-*c]    [...] manage esil pins, run r2 commands instead of esil
| aepc [addr]                          change program counter for esil
| aep*                                 list pins in r2 commands
| aep-*                                remove all pins
| aep-[addr]                           remove pin
| aep-[name]                           remove pin command
| aepa ([addr])                        auto set pin in current or given address by flag name (see aaep)
| aep [name] @ [addr]                  set pin
| aep memcpy=wf `dr?A1` `dr?A2` @r:A0  override esil.cmd.pin for this pin name
| aep soft.show.r9=dr?r9               set a 'soft.' esil pin, only executed in the disasm loop
| aep                                  list pins
| aep.                                 show pin name in current address if any
| aepk [query]                         kuery the sdb of pins"
ar	# Analysis Registers	"[{""command"": ""ar"", ""description"": ""show 'gpr' registers""}, {""command"": ""ar.>$snapshot"", ""description"": ""show r2 commands to set register values to the current state""}, {""command"": ""ar,"", ""description"": ""show registers in table format (see dr,)""}, {""command"": "".ar*"", ""description"": ""import register values as flags""}, {""command"": "".ar-"", ""description"": ""unflag all registers""}, {""command"": ""ar0"", ""description"": ""reset register arenas to 0""}, {""command"": ""ara[?]"", ""description"": ""manage register arenas""}, {""command"": ""arj"", ""description"": ""show 'gpr' registers in JSON format""}, {""command"": ""arA[?]"", ""description"": ""show values of function argument calls (A0, A1, A2, ..)""}, {""command"": ""ar 16"", ""description"": ""show 16 bit registers""}, {""command"": ""ar 32"", ""description"": ""show 32 bit registers""}, {""command"": ""ar all"", ""description"": ""show all bit registers""}, {""command"": ""ar <type>"", ""description"": ""show all registers of given type""}, {""command"": ""arC"", ""description"": ""display register profile comments""}, {""command"": ""arr"", ""description"": ""show register references (telescoping)""}, {""command"": ""arrj"", ""description"": ""show register references (telescoping) in JSON format""}, {""command"": ""ar=([size])(:[regs])"", ""description"": ""show register values in columns""}, {""command"": ""ar? <reg>"", ""description"": ""show register value""}, {""command"": ""arb <type>"", ""description"": ""display hexdump of the given arena""}, {""command"": ""arc[cq=] <name>"", ""description"": ""conditional flag registers""}, {""command"": ""arcc"", ""description"": ""derive calling convention from the register profile""}, {""command"": ""ard <name>"", ""description"": ""show only different registers""}, {""command"": ""arn <regalias>"", ""description"": ""get regname for pc,sp,bp,a0-3,zf,cf,of,sg""}, {""command"": ""aro"", ""description"": ""show old (previous) register values""}, {""command"": ""arp[?] <file>"", ""description"": ""load register profile from file""}, {""command"": ""ars"", ""description"": ""stack register state""}, {""command"": ""arS"", ""description"": ""show the size of the register profile""}, {""command"": ""art"", ""description"": ""list all register types""}, {""command"": ""arw <hexnum>"", ""description"": ""set contents of the register arena""}]"	"Usage: ar  # Analysis Registers
| ar                    show 'gpr' registers
| ar.>$snapshot         show r2 commands to set register values to the current state
| ar,                   show registers in table format (see dr,)
| .ar*                  import register values as flags
| .ar-                  unflag all registers
| ar0                   reset register arenas to 0
| ara[?]                manage register arenas
| arj                   show 'gpr' registers in JSON format
| arA[?]                show values of function argument calls (A0, A1, A2, ..)
| ar 16                 show 16 bit registers
| ar 32                 show 32 bit registers
| ar all                show all bit registers
| ar <type>             show all registers of given type
| arC                   display register profile comments
| arr                   show register references (telescoping)
| arrj                  show register references (telescoping) in JSON format
| ar=([size])(:[regs])  show register values in columns
| ar? <reg>             show register value
| arb <type>            display hexdump of the given arena
| arc[cq=] <name>       conditional flag registers
| arcc                  derive calling convention from the register profile
| ard <name>            show only different registers
| arn <regalias>        get regname for pc,sp,bp,a0-3,zf,cf,of,sg
| aro                   show old (previous) register values
| arp[?] <file>         load register profile from file
| ars                   stack register state
| arS                   show the size of the register profile
| art                   list all register types
| arw <hexnum>          set contents of the register arena"
ara[+-s]	register Arena Push/Pop/Swap	"[{""command"": ""ara"", ""description"": ""show all register arenas allocated""}, {""command"": ""ara+"", ""description"": ""push a new register arena for each type""}, {""command"": ""ara-"", ""description"": ""pop last register arena""}, {""command"": ""aras"", ""description"": ""swap last two register arenas""}]"	"Usage: ara[+-s]  register Arena Push/Pop/Swap
| ara   show all register arenas allocated
| ara+  push a new register arena for each type
| ara-  pop last register arena
| aras  swap last two register arenas"
arp	# Register profile commands	"[{""command"": ""arp"", ""description"": ""show the current register profile""}, {""command"": ""arp [regprofile-file]"", ""description"": ""set the current register profile""}, {""command"": ""arp [gdb] [regprofile-file]"", ""description"": ""parse gdb register profile and dump an r2 profile string""}, {""command"": ""arp*"", ""description"": ""print r2 commands creating flags for each register inside the arena offset""}, {""command"": ""arpc"", ""description"": ""show register profile comments""}, {""command"": ""arpi"", ""description"": ""show internal representation of the register profile""}, {""command"": ""arp."", ""description"": ""show the current fake size""}, {""command"": ""arpj"", ""description"": ""show the current register profile (JSON)""}, {""command"": ""arps [new fake size]"", ""description"": ""get or set the register profile size""}, {""command"": ""arpg"", ""description"": ""show register profile comments""}, {""command"": ""NOTE:"", ""description"": ""this help will show arp if you run drp? when cfg.debug=0""}]"	"Usage: arp   # Register profile commands
| arp                          show the current register profile
| arp [regprofile-file]        set the current register profile
| arp [gdb] [regprofile-file]  parse gdb register profile and dump an r2 profile string
| arp*                         print r2 commands creating flags for each register inside the arena offset
| arpc                         show register profile comments
| arpi                         show internal representation of the register profile
| arp.                         show the current fake size
| arpj                         show the current register profile (JSON)
| arps [new fake size]         get or set the register profile size
| arpg                         show register profile comments
| NOTE:                        this help will show arp if you run drp? when cfg.debug=0"
aes[pbosu]	esil stepping utilities	"[{""command"": ""aesp [X] [N]"", ""description"": ""evaluate N instr from offset X""}, {""command"": ""aesb"", ""description"": ""step back""}, {""command"": ""aeso"", ""description"": ""step over""}, {""command"": ""aesou [addr]"", ""description"": ""step over until given address""}, {""command"": ""aess"", ""description"": ""step skip (in case of CALL, just skip, instead of step into)""}, {""command"": ""aesu [addr]"", ""description"": ""step until given address""}, {""command"": ""aesue [esil]"", ""description"": ""step until esil expression match""}, {""command"": ""aesuo [optype]"", ""description"": ""step until given opcode type""}, {""command"": ""aesB [addr] [N] @ [from-addr]"", ""description"": ""step over every N instructions""}, {""command"": ""aet[?][s]"", ""description"": ""esil trace listing and session management (requires aeim)""}]"	"Usage: aes[pbosu]  esil stepping utilities
| aesp [X] [N]                   evaluate N instr from offset X
| aesb                           step back
| aeso                           step over
| aesou [addr]                   step over until given address
| aess                           step skip (in case of CALL, just skip, instead of step into)
| aesu [addr]                    step until given address
| aesue [esil]                   step until esil expression match
| aesuo [optype]                 step until given opcode type
| aesB [addr] [N] @ [from-addr]  step over every N instructions
| aet[?][s]  esil trace listing and session management (requires aeim)"
af		"[{""command"": ""af ([name]) ([addr])"", ""description"": ""analyze functions (start at addr or $$)""}, {""command"": ""af+ addr name [type] [diff]"", ""description"": ""hand craft a function (requires afb+)""}, {""command"": ""af- [addr]"", ""description"": ""clean all function analysis data (or function at addr)""}, {""command"": ""afa"", ""description"": ""analyze function arguments in a call (afal honors dbg.funcarg)""}, {""command"": ""afB 16"", ""description"": ""set current function as thumb (change asm.bits)""}, {""command"": ""afb[?] [addr]"", ""description"": ""List basic blocks of given function""}, {""command"": ""afb+ fcnA bbA sz [j] [f] ([t]( [d]))"", ""description"": ""add bb to function @ fcnaddr""}, {""command"": ""afbF([0|1])"", ""description"": ""Toggle the basic-block 'folded' attribute""}, {""command"": ""afc[?] type @[addr]"", ""description"": ""set calling convention for function""}, {""command"": ""afC[?] ([addr])@[addr]"", ""description"": ""calculate the Cycles (afC) or Cyclomatic Complexity (afCc)""}, {""command"": ""afd[addr]"", ""description"": ""show function + delta for given offset""}, {""command"": ""afF[1|0|]"", ""description"": ""fold/unfold/toggle""}, {""command"": ""afi [addr|fcn.name]"", ""description"": ""show function(s) information (verbose afl)""}, {""command"": ""afj [tableaddr] [elem_sz] [count] [seg]"", ""description"": ""analyze function jumptable (adding seg to each elem)""}, {""command"": ""afl[?] [ls*] [fcn name]"", ""description"": ""list functions (addr, size, bbs, name) (see afll)""}, {""command"": ""afm name"", ""description"": ""merge two functions""}, {""command"": ""afM name"", ""description"": ""print functions map""}, {""command"": ""afn[?] name [addr]"", ""description"": ""rename name for function at address (change flag too)""}, {""command"": ""afna"", ""description"": ""suggest automatic name for current offset""}, {""command"": ""afo[?j] [fcn.name]"", ""description"": ""show address for the function name or current offset""}, {""command"": ""afr ([name]) ([addr])"", ""description"": ""analyze functions recursively""}, {""command"": ""afs[?] ([fcnsign])"", ""description"": ""get/set function signature at current address (afs! uses cfg.editor)""}, {""command"": ""afS[stack_size]"", ""description"": ""set stack frame size for function at current address""}, {""command"": ""aft[?]"", ""description"": ""type matching, type propagation""}, {""command"": ""afu addr"", ""description"": ""resize and analyze function from current address until addr""}, {""command"": ""afv[?]"", ""description"": ""manipulate args, registers and variables in function""}, {""command"": ""afx[m]"", ""description"": ""list function references""}]"	"Usage: af
| af ([name]) ([addr])                     analyze functions (start at addr or $$)
| af+ addr name [type] [diff]              hand craft a function (requires afb+)
| af- [addr]                               clean all function analysis data (or function at addr)
| afa                                      analyze function arguments in a call (afal honors dbg.funcarg)
| afB 16                                   set current function as thumb (change asm.bits)
| afb[?] [addr]                            List basic blocks of given function
| afb+ fcnA bbA sz [j] [f] ([t]( [d]))     add bb to function @ fcnaddr
| afbF([0|1])                              Toggle the basic-block 'folded' attribute
| afc[?] type @[addr]                      set calling convention for function
| afC[?] ([addr])@[addr]                   calculate the Cycles (afC) or Cyclomatic Complexity (afCc)
| afd[addr]                                show function + delta for given offset
| afF[1|0|]                                fold/unfold/toggle
| afi [addr|fcn.name]                      show function(s) information (verbose afl)
| afj [tableaddr] [elem_sz] [count] [seg]  analyze function jumptable (adding seg to each elem)
| afl[?] [ls*] [fcn name]                  list functions (addr, size, bbs, name) (see afll)
| afm name                                 merge two functions
| afM name                                 print functions map
| afn[?] name [addr]                       rename name for function at address (change flag too)
| afna                                     suggest automatic name for current offset
| afo[?j] [fcn.name]                       show address for the function name or current offset
| afr ([name]) ([addr])                    analyze functions recursively
| afs[?] ([fcnsign])                       get/set function signature at current address (afs! uses cfg.editor)
| afS[stack_size]                          set stack frame size for function at current address
| aft[?]                                   type matching, type propagation
| afu addr                                 resize and analyze function from current address until addr
| afv[?]                                   manipulate args, registers and variables in function
| afx[m]                                   list function references"
afb	list basic blocks of given function	"[{""command"": ""afb [addr]"", ""description"": ""list basic blocks of function""}, {""command"": ""afb. [addr]"", ""description"": ""show info of current basic block""}, {""command"": ""afb,"", ""description"": ""show basic blocks of current function in a table""}, {""command"": ""afb="", ""description"": ""display ascii-art bars for basic block regions""}, {""command"": ""afb+ fcn_at bbat bbsz [jump] [fail] ([diff])"", ""description"": ""add basic block by hand""}, {""command"": ""afba[!]"", ""description"": ""list basic blocks of current offset in analysis order (EXPERIMENTAL, see afla)""}, {""command"": ""afbc[-] [color] ([addr])"", ""description"": ""colorize basic block (same as 'abc', afbc- to unset)""}, {""command"": ""afbd"", ""description"": ""list function basic block dependency list in order and set abe values""}, {""command"": ""afbe bbfrom bbto"", ""description"": ""add basic-block edge for switch-cases""}, {""command"": ""afbi[j]"", ""description"": ""print current basic block information""}, {""command"": ""afbj [addr]"", ""description"": ""show basic blocks information in json""}, {""command"": ""afbr[?]"", ""description"": ""show addresses of instructions which leave the function""}, {""command"": ""afbo"", ""description"": ""list addresses of each instruction for every basic block in function (see abo)""}, {""command"": ""afB [bits]"", ""description"": ""define asm.bits for the given function""}]"	"Usage: afb   list basic blocks of given function
| afb [addr]                                    list basic blocks of function
| afb. [addr]                                   show info of current basic block
| afb,                                          show basic blocks of current function in a table
| afb=                                          display ascii-art bars for basic block regions
| afb+ fcn_at bbat bbsz [jump] [fail] ([diff])  add basic block by hand
| afba[!]                                       list basic blocks of current offset in analysis order (EXPERIMENTAL, see afla)
| afbc[-] [color] ([addr])                      colorize basic block (same as 'abc', afbc- to unset)
| afbd                                          list function basic block dependency list in order and set abe values
| afbe bbfrom bbto                              add basic-block edge for switch-cases
| afbi[j]                                       print current basic block information
| afbj [addr]                                   show basic blocks information in json
| afbr[?]                                       show addresses of instructions which leave the function
| afbo                                          list addresses of each instruction for every basic block in function (see abo)
| afB [bits]                                    define asm.bits for the given function"
afbr	return addresses for current function	"[{""command"": ""afbr"", ""description"": ""show addresses of instructions which leave the function""}, {""command"": ""afbrb"", ""description"": ""show addresses of leaving basic blocks with no out edges""}, {""command"": "".afbr*"", ""description"": ""set breakpoint on every return address of the function""}, {""command"": "".afbr-*"", ""description"": ""remove breakpoint on every return address of the function""}]"	"Usage: afbr   return addresses for current function
| afbr     show addresses of instructions which leave the function
| afbrb    show addresses of leaving basic blocks with no out edges
| .afbr*   set breakpoint on every return address of the function
| .afbr-*  remove breakpoint on every return address of the function"
afc[agl?]	# see also tcc command to manage all calling conventions	"[{""command"": ""afc ccname"", ""description"": ""manually set calling convention for current function""}, {""command"": ""afc"", ""description"": ""show calling convention for the Current function (same as tcc)""}, {""command"": ""afcr[j]"", ""description"": ""show register usage for the current function""}, {""command"": ""afcf[j] [name]"", ""description"": ""prints return type function(arg1, arg2...), see afij""}, {""command"": ""afci"", ""description"": ""information about the current calling convention""}, {""command"": ""afcj"", ""description"": ""show current calling convention info in JSON""}, {""command"": ""afck"", ""description"": ""list SDB details of call loaded calling conventions""}, {""command"": ""afcl"", ""description"": ""list all available calling conventions""}, {""command"": ""afcll"", ""description"": ""show all call conventions and its definition""}, {""command"": ""afco path"", ""description"": ""open Calling Convention sdb profile from given path""}, {""command"": ""afcR"", ""description"": ""register telescoping using the calling conventions order""}]"	"Usage: afc[agl?]  # see also tcc command to manage all calling conventions
| afc ccname      manually set calling convention for current function
| afc             show calling convention for the Current function (same as tcc)
| afcr[j]         show register usage for the current function
| afcf[j] [name]  prints return type function(arg1, arg2...), see afij
| afci            information about the current calling convention
| afcj            show current calling convention info in JSON
| afck            list SDB details of call loaded calling conventions
| afcl            list all available calling conventions
| afcll           show all call conventions and its definition
| afco path       open Calling Convention sdb profile from given path
| afcR            register telescoping using the calling conventions order"
afC	[addr]	"[{""command"": ""afC"", ""description"": ""function cycles cost""}, {""command"": ""afCc"", ""description"": ""cyclomatic complexity""}, {""command"": ""afCl"", ""description"": ""loop count (backward jumps)""}]"	"Usage: afC   [addr]
| afC   function cycles cost
| afCc  cyclomatic complexity
| afCl  loop count (backward jumps)"
afl	List all functions	"[{""command"": ""afl"", ""description"": ""list functions""}, {""command"": ""afl."", ""description"": ""display function in current offset (see afi.)""}, {""command"": ""afl, [query]"", ""description"": ""list functions in table format""}, {""command"": ""afl+"", ""description"": ""display sum all function sizes""}, {""command"": ""afl*"", ""description"": ""reconstruct all functions in r2 commands""}, {""command"": ""afl="", ""description"": ""display ascii-art bars with function ranges""}, {""command"": ""afla"", ""description"": ""reverse call order (useful for afna and noret, also see afba)""}, {""command"": ""aflc"", ""description"": ""count of functions""}, {""command"": ""aflj"", ""description"": ""list functions in json""}, {""command"": ""afll [column]"", ""description"": ""list functions in verbose mode (sorted by column name)""}, {""command"": ""afllj"", ""description"": ""list functions in verbose mode (alias to aflj)""}, {""command"": ""aflm[?]"", ""description"": ""list functions in makefile style (af@@=`aflm~0x`)""}, {""command"": ""afln[?]"", ""description"": ""list all function names""}, {""command"": ""aflq"", ""description"": ""list functions in quiet mode""}, {""command"": ""aflqj"", ""description"": ""list functions in json quiet mode""}, {""command"": ""afls[?asn]"", ""description"": ""sort function list by address, size or name""}, {""command"": ""aflx[?*jv]"", ""description"": ""list function xrefs (who references or calls the current function)""}]"	"Usage: afl   List all functions
| afl            list functions
| afl.           display function in current offset (see afi.)
| afl, [query]   list functions in table format
| afl+           display sum all function sizes
| afl*           reconstruct all functions in r2 commands
| afl=           display ascii-art bars with function ranges
| afla           reverse call order (useful for afna and noret, also see afba)
| aflc           count of functions
| aflj           list functions in json
| afll [column]  list functions in verbose mode (sorted by column name)
| afllj          list functions in verbose mode (alias to aflj)
| aflm[?]        list functions in makefile style (af@@=`aflm~0x`)
| afln[?]        list all function names
| aflq           list functions in quiet mode
| aflqj          list functions in json quiet mode
| afls[?asn]     sort function list by address, size or name
| aflx[?*jv]     list function xrefs (who references or calls the current function)"
aflm	[q.j] List functions in verbose mode	"[{""command"": ""aflm"", ""description"": ""list functions and what they call in makefile-like format""}, {""command"": ""aflm."", ""description"": ""only print the summary for the current function (see pds)""}, {""command"": ""aflmj"", ""description"": ""same as above but in json format""}]"	"Usage: aflm  [q.j] List functions in verbose mode
| aflm   list functions and what they call in makefile-like format
| aflm.  only print the summary for the current function (see pds)
| aflmj  same as above but in json format"
aflm	[q.j] List functions in verbose mode	"[{""command"": ""aflm"", ""description"": ""list functions and what they call in makefile-like format""}, {""command"": ""aflm."", ""description"": ""only print the summary for the current function (see pds)""}, {""command"": ""aflmj"", ""description"": ""same as above but in json format""}]"	"Usage: aflm  [q.j] List functions in verbose mode
| aflm   list functions and what they call in makefile-like format
| aflm.  only print the summary for the current function (see pds)
| aflmj  same as above but in json format"
afn[sa]	Analyze function names	"[{""command"": ""afn [name]"", ""description"": ""rename the function (name can start with base64:)""}, {""command"": ""afn."", ""description"": ""same as afn without arguments. show the function name in current offset""}, {""command"": ""afn*"", ""description"": ""show r2 commands to set function signature, flag and function name""}, {""command"": ""afna[j]"", ""description"": ""construct a function name for the current offset""}, {""command"": ""afns[j]"", ""description"": ""list all strings associated with the current function""}]"	"Usage: afn[sa]   Analyze function names
| afn [name]  rename the function (name can start with base64:)
| afn.        same as afn without arguments. show the function name in current offset
| afn*        show r2 commands to set function signature, flag and function name
| afna[j]     construct a function name for the current offset
| afns[j]     list all strings associated with the current function"
afs[r]	Analyze function signatures	"[{""command"": ""afs ([fcnsign])"", ""description"": ""get/set function signature at current address (afs! uses cfg.editor)""}, {""command"": ""afsq"", ""description"": ""same as afs without the error message (See afsQ for non-current offset)""}, {""command"": ""afs!"", ""description"": ""edit current function signature with cfg.editor""}, {""command"": ""afs* ([signame])"", ""description"": ""get function signature in flags""}, {""command"": ""afsj ([signame])"", ""description"": ""get function signature in JSON""}, {""command"": ""afsr [function_name] [new_type]"", ""description"": ""change type for given function""}, {""command"": ""afsv[j]"", ""description"": ""print function signature filling the values from current reg and stack state""}]"	"Usage: afs[r]   Analyze function signatures
| afs ([fcnsign])                  get/set function signature at current address (afs! uses cfg.editor)
| afsq                             same as afs without the error message (See afsQ for non-current offset)
| afs!                             edit current function signature with cfg.editor
| afs* ([signame])                 get function signature in flags
| afsj ([signame])                 get function signature in JSON
| afsr [function_name] [new_type]  change type for given function
| afsv[j]                          print function signature filling the values from current reg and stack state"
aft		"[{""command"": ""aft"", ""description"": ""type matching analysis for current function""}]"	"Usage: aft
| aft  type matching analysis for current function"
afv[rbs]	Function variables manipulation	"[{""command"": ""afv*"", ""description"": ""output r2 command to add args/locals to flagspace""}, {""command"": ""afv-([name])"", ""description"": ""remove all or given var""}, {""command"": ""afv="", ""description"": ""list function variables and arguments with disasm refs""}, {""command"": ""afva"", ""description"": ""analyze function arguments/locals""}, {""command"": ""afvb[?]"", ""description"": ""manipulate bp based arguments/locals""}, {""command"": ""afvd name"", ""description"": ""output r2 command for displaying the value of args/locals in the debugger""}, {""command"": ""afvf"", ""description"": ""show BP relative stackframe variables""}, {""command"": ""afvn [new_name] ([old_name])"", ""description"": ""rename argument/local""}, {""command"": ""afvr[?]"", ""description"": ""manipulate register based arguments""}, {""command"": ""afvR [varname]"", ""description"": ""list addresses where vars are accessed (READ)""}, {""command"": ""afvs[?]"", ""description"": ""manipulate sp based arguments/locals""}, {""command"": ""afvt [name] [new_type]"", ""description"": ""change type for given argument/local""}, {""command"": ""afvW [varname]"", ""description"": ""list addresses where vars are accessed (WRITE)""}, {""command"": ""afvx"", ""description"": ""show function variable xrefs (same as afvR+afvW)""}, {""command"": ""afvb[?]"", ""description"": ""manipulate bp based arguments/locals""}, {""command"": ""afvr[?]"", ""description"": ""manipulate register based arguments""}, {""command"": ""afvs[?]"", ""description"": ""manipulate sp based arguments/locals""}]"	"Usage: afv[rbs]   Function variables manipulation
| afv*                          output r2 command to add args/locals to flagspace
| afv-([name])                  remove all or given var
| afv=                          list function variables and arguments with disasm refs
| afva                          analyze function arguments/locals
| afvb[?]                       manipulate bp based arguments/locals
| afvd name                     output r2 command for displaying the value of args/locals in the debugger
| afvf                          show BP relative stackframe variables
| afvn [new_name] ([old_name])  rename argument/local
| afvr[?]                       manipulate register based arguments
| afvR [varname]                list addresses where vars are accessed (READ)
| afvs[?]                       manipulate sp based arguments/locals
| afvt [name] [new_type]        change type for given argument/local
| afvW [varname]                list addresses where vars are accessed (WRITE)
| afvx                          show function variable xrefs (same as afvR+afvW)
| afvb[?]  manipulate bp based arguments/locals
| afvr[?]  manipulate register based arguments
| afvs[?]  manipulate sp based arguments/locals"
