main_command	main_description	command	description
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@c:cmd	seek to the address printed by the given command. same as '@ `cmd`'
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@e:k=v,k=v	temporary change eval vars
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@f:file	temporary replace block with file contents
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@F:flagspace	temporary change flag space
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@i:nth.op	temporary seek to the Nth relative instruction
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@k:k	temporary seek at value of sdb key `k`
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@o:fd	temporary switch to another fd
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@r:reg	tmp seek to reg value (f.ex pd@r:PC, see also $r{PC} and $r:PC)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@s:string	tmp seek to reg value (f.ex pd@r:PC, see also $r{PC} and $r:PC)  but from a string
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@v:value	modify the current offset to a custom value
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@x:909192	from hex pairs string
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@@=1 2 3	run the previous command at offsets 1, 2 and 3
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@@==foo bar	run the previous command appending a word on each iteration
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@@ hit*	run the command on every flag matching 'hit*'
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@@[?][ktfb..]	show help for the iterator operator
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		@@@[?] [type]	run a command on every [type] (see @@@? for help)
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		>file	pipe output of command to file
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		>>file	append to file
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		H>file	pipe output of command to file in HTML
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		H>>file	append to file with the output of command in HTML
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		`pdi~push:0[0]`	replace output of command inside the line
"[.:""][#]<cmd>[*] [`cmd`] [@ addr] [~grep] [|syscmd] [>[>]file]"		|cmd	pipe output to command (pd|less) (.dr*)
-	open editor and run the r2 commands in the saved document	'-' '.-' '. -'	those three commands do the same
-	open editor and run the r2 commands in the saved document	-8	same as s-8, but shorter to type (see +? command)
-	open editor and run the r2 commands in the saved document	-a x86	same as r2 -a x86 or e asm.arch=x86
-	open editor and run the r2 commands in the saved document	-A[?]	same as r2 -A or aaa
-	open editor and run the r2 commands in the saved document	-b 32	same as e or r2 -e
-	open editor and run the r2 commands in the saved document	-c cpu	same as r2 -e asm.cpu=
-	open editor and run the r2 commands in the saved document	-e k=v	same as r2 -b or e asm.bits
-	open editor and run the r2 commands in the saved document	-h	show this help (same as -?)
-	open editor and run the r2 commands in the saved document	-H key	same as r2 -H
-	open editor and run the r2 commands in the saved document	-k kernel	same as r2 -k or e asm.os
-	open editor and run the r2 commands in the saved document	-f	block size = file size (b $s)
-	open editor and run the r2 commands in the saved document	-j	enter the js: repl
-	open editor and run the r2 commands in the saved document	-i [file]	same as . [file], to run a script
-	open editor and run the r2 commands in the saved document	-s [addr]	same as r2 -e asm.cpu=
-	open editor and run the r2 commands in the saved document	-L	same as Lo (or r2 -L)
-	open editor and run the r2 commands in the saved document	-p project	same as 'P [prjname]' to load a project
-	open editor and run the r2 commands in the saved document	-P patchfile	apply given patch file (see doc/rapatch2.md)
-	open editor and run the r2 commands in the saved document	-v	same as -V
-	open editor and run the r2 commands in the saved document	-V	show r2 version, same as ?V
-	open editor and run the r2 commands in the saved document	--	seek one block backward. Same as s-- (see `b` command)
aaa[a[a]]	# automatically analyze the whole program	aaa	perform deeper analysis, most common use
aaa[a[a]]	# automatically analyze the whole program	aaaa	same as aaa but adds a bunch of experimental iterations
aaa[a[a]]	# automatically analyze the whole program	aaaaa	refine the analysis to find more functions after aaaa
aaa[a[a]]	# automatically analyze the whole program	@@	# foreach iterator command:
aaa[a[a]]	# automatically analyze the whole program	x @@ sym.*	run 'x' over all flags matching 'sym.' in current flagspace
aaa[a[a]]	# automatically analyze the whole program	x @@.file	run 'x' over the offsets specified in the file (one offset per line)
aaa[a[a]]	# automatically analyze the whole program	x @@/x 9090	temporary set cmd.hit to run a command on each search result
aaa[a[a]]	# automatically analyze the whole program	x @@=`pdf~call[0]`	run 'x' at every call offset of the current function
aaa[a[a]]	# automatically analyze the whole program	x @@=off1 off2 ..	manual list of offsets
aaa[a[a]]	# automatically analyze the whole program	x @@b	run 'x' on all basic blocks of current function (see afb)
aaa[a[a]]	# automatically analyze the whole program	x @@c:cmd	the same as @@=`` without the backticks
aaa[a[a]]	# automatically analyze the whole program	x @@dbt[abs]	run 'x' command on every backtrace address, bp or sp
aaa[a[a]]	# automatically analyze the whole program	x @@f	run 'x' on all functions (see aflq)
aaa[a[a]]	# automatically analyze the whole program	x @@f:write	run 'x' on all functions matching write in the name
aaa[a[a]]	# automatically analyze the whole program	x @@F	alias for @@c:afla - inverse recursive function list
aaa[a[a]]	# automatically analyze the whole program	x @@i	run 'x' on all instructions of the current function (see pdr)
aaa[a[a]]	# automatically analyze the whole program	x @@iS	run 'x' on all sections adjusting blocksize
aaa[a[a]]	# automatically analyze the whole program	x @@k sdbquery	run 'x' on all offsets returned by that sdbquery
aaa[a[a]]	# automatically analyze the whole program	x @@s:from to step	run 'x' on all offsets from, to incrementing by step
aaa[a[a]]	# automatically analyze the whole program	x @@t	run 'x' on all threads (see dp)
aaa[a[a]]	# automatically analyze the whole program	@@@	# foreach offset+size iterator command:
aaa[a[a]]	# automatically analyze the whole program	x @@@=	[addr] [size] ([addr] [size] ...)
aaa[a[a]]	# automatically analyze the whole program	x @@@b	basic blocks of current function
aaa[a[a]]	# automatically analyze the whole program	x @@@C:cmd	comments matching
aaa[a[a]]	# automatically analyze the whole program	x @@@c:cmd	Same as @@@=`cmd`, without the backticks
aaa[a[a]]	# automatically analyze the whole program	x @@@e	entries
aaa[a[a]]	# automatically analyze the whole program	x @@@E	exports
aaa[a[a]]	# automatically analyze the whole program	x @@@f	flags
aaa[a[a]]	# automatically analyze the whole program	x @@@F	functions (set fcn size which may be incorrect if not linear)
aaa[a[a]]	# automatically analyze the whole program	x @@@F:glob	functions matching glob expression
aaa[a[a]]	# automatically analyze the whole program	x @@@f:hit*	flags matching glob expression
aaa[a[a]]	# automatically analyze the whole program	x @@@i	imports
aaa[a[a]]	# automatically analyze the whole program	x @@@M	dbg.maps (See ?$?~size)
aaa[a[a]]	# automatically analyze the whole program	x @@@m	io.maps
aaa[a[a]]	# automatically analyze the whole program	x @@@r	registers
aaa[a[a]]	# automatically analyze the whole program	x @@@R	relocs
aaa[a[a]]	# automatically analyze the whole program	x @@@S	sections
aaa[a[a]]	# automatically analyze the whole program	x @@@s	symbols
aaa[a[a]]	# automatically analyze the whole program	x @@@SS	segments (same as @@@G)
aaa[a[a]]	# automatically analyze the whole program	x @@@t	threads
aaa[a[a]]	# automatically analyze the whole program	x @@@z	ztrings
aaa[a[a]]	# automatically analyze the whole program	'# run a command without evaluating any special character	
aaa[a[a]]	# automatically analyze the whole program	'?e hello @ world	print everything after `?e` (r2.call)
aaa[a[a]]	# automatically analyze the whole program	'0x123'?v $$	run the '?v $$' command in the 0x123 offset (same as r2.callAt)
aaa[a[a]]	# automatically analyze the whole program	'@entry0'?v $$	same as '0x but supports non numeric offsets
!<cmd>		!	list all commands in the shell history
!<cmd>		!ls	execute 'ls' in shell
!<cmd>		!*r2p x	run r2 command via r2pipe in current session
!<cmd>		!.	save command history to hist file
!<cmd>		!!	list commands used in current session
!<cmd>		!!ls~txt	print output of 'ls' and grep for 'txt'
!<cmd>		!!!cmd [args|$type]	adds the autocomplete value
!<cmd>		!!!-cmd [args]	removes the autocomplete value
!<cmd>		.!rabin2 -rpsei ${FILE}	run each output line as a r2 cmd
!<cmd>		!echo $R2_SIZE	display file size
!<cmd>		!-	clear history in current session
!<cmd>		!-*	clear and save empty history log
!<cmd>		!=!	enable remotecmd mode
!<cmd>		=!=	disable remotecmd mode
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=	list all open connections
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=<[fd] cmd	send output of local command to remote fd
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=[fd] cmd	exec cmd at remote 'fd' (last open is default one)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=! cmd	run command via r_io_system
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+ [proto://]host:port	connect to remote host:port (*rap://, raps://, tcp://, udp://, http://)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=-[fd]	remove all hosts or host 'fd'
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	==[fd]	open remote session with host 'fd', 'q' to quit
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=!=	disable remote cmd mode
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	!=!	enable remote cmd mode
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=l[?]	list, create or destroy background session server
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=tport	start the tcp server (echo x|nc ::1 9090 or curl ::1:9090/cmd/x)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=rport	start the rap server (o rap://9999)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=g[?]	start the gdbserver
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=h port	start the http webserver on 'port'
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=H port	start the http webserver on 'port' (launch browser)
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=&:port	start rap server in background (same as '&_=h')
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=:host:port cmd	run 'cmd' command on remote server
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+tcp://localhost:9090/	connect to: r2 -c.:9090 ./bin
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+rap://localhost:9090/	connect to: r2 rap://:9090
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	=+http://localhost:9090/cmd/	connect to: r2 -c'=h 9090' bin
=[:!+-=ghH] [...]	# connect with other instances of r2 remote commands: servers: other: examples:	o rap://:9090/	start the rap server on tcp port 9090
=l	[..] list, create and destroy r2 sessions	=l	list all available sessions
=l	[..] list, create and destroy r2 sessions	=l [name]	give a name to the current session
=l	[..] list, create and destroy r2 sessions	=l-	stop listening in background
=l	[..] list, create and destroy r2 sessions	=ll	start a new session: listening for commands in background
=[g] [...]	# gdb server gdbserver:	=g port file [args]	listen on 'port' debugging 'file' using gdbserver
?[?[?]] expression		?! [cmd]	run cmd if $? == 0
?[?[?]] expression		? eip-0x804800	show all representation result for this math expr
?[?[?]] expression		?'	show help for the single quote (do not evaluate special characters in command)
?[?[?]] expression		?$	show value all the variables ($)
?[?[?]] expression		?+ [cmd]	run cmd if $? > 0
?[?[?]] expression		?- [cmd]	run cmd if $? < 0
?[?[?]] expression		?= eip-0x804800	update $? return code with result of operation
?[?[?]] expression		?== x86 `e asm.arch`	strcmp two strings
?[?[?]] expression		?? [cmd]	run cmd if $? != 0
?[?[?]] expression		??	show value of operation
?[?[?]] expression		?a	show ascii table
?[?[?]] expression		?B [elem]	show range boundaries like 'e?search.in
?[?[?]] expression		?b [num]	show binary value of number
?[?[?]] expression		?b64[-] [str]	encode/decode in base64
?[?[?]] expression		?btw num|expr num|expr num|expr	returns boolean value of a <= b <= c
?[?[?]] expression		?d [num]	disasssemble given number as a little and big endian dword
?[?[?]] expression		?e[=bdgnpst] arg	echo messages, bars, pie charts and more (see ?e? for details)
?[?[?]] expression		?f [num] [str]	map each bit of the number as flag string index
?[?[?]] expression		?F	flush cons output
?[?[?]] expression		?h [str]	calculate hash for given string
?[?[?]] expression		?i[?] arg	prompt for number or Yes,No,Msg,Key,Path and store in $$?
?[?[?]] expression		?j arg	same as '? num' but in JSON
?[?[?]] expression		?l[q] str	returns the length of string ('q' for quiet, just set $?)
?[?[?]] expression		?o num	get octal value
?[?[?]] expression		?P paddr	get virtual address for given physical one
?[?[?]] expression		?p vaddr	get physical address for given virtual address
?[?[?]] expression		?q num|expr	compute expression like ? or ?v but in quiet mode
?[?[?]] expression		?r [from] [to]	generate random number between from-to
?[?[?]] expression		?s from to step	sequence of numbers from to by steps
?[?[?]] expression		?t cmd	returns the time to run a command
?[?[?]] expression		?T	show loading times
?[?[?]] expression		?u num	get value in human units (KB, MB, GB, TB)
?[?[?]] expression		?v num|expr	show hex value of math expr (no expr prints $?)
?[?[?]] expression		?vi[1248] num|expr	show decimal value of math expr [n bytes]
?[?[?]] expression		?vx num|expr	show 8 digit padding in hex
?[?[?]] expression		?V	show library version of r_core
?[?[?]] expression		?w addr	show what's in this address (like pxr/pxq does)
?[?[?]] expression		?X num|expr	returns the hexadecimal value numeric expr
?[?[?]] expression		?x str	returns the hexpair of number or string
?[?[?]] expression		?x+num	like ?v, but in hexpairs honoring cfg.bigendian
?[?[?]] expression		?x-hexst	convert hexpair into raw string with newline
?[?[?]] expression		?_ hudfile	load hud menu with given file
?[?[?]] expression		[cmd]?*	recursive help for the given cmd
?e[=bdgnpst] arg print/echo things		?i ([prompt])	inquery the user and save that text into the yank clipboard (y)
?e[=bdgnpst] arg print/echo things		?ie [msg]	same as ?i, but prints the output, useful for oneliners
?e[=bdgnpst] arg print/echo things		?iy [question]	dialog yes/no with default Yes
?e[=bdgnpst] arg print/echo things		?if [math-expr]	evaluates math expression returns true if result is zero
?e[=bdgnpst] arg print/echo things		?in [question]	dialog yes/no with default No
?e[=bdgnpst] arg print/echo things		?im [msg]	like ?ie, but using RCons.message (clear-screen + press-any-key)
?e[=bdgnpst] arg print/echo things		?ik	press any key
?e[=bdgnpst] arg print/echo things		?ip ([path])	interactive hud mode to find files in given path
?e[=bdgnpst] arg print/echo things		?iu (ui-expr)	input using user interface expression
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	&	all words must match to grep the line[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	$[n]	sort numerically / alphabetically the Nth column[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	$	sort in alphabetic order[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	$$	sort + uniq[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	$!	inverse alphabetical sort[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	$!!	reverse the lines (like the `tac` tool)[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	,	token to define another keyword[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	+	case insensitive grep (grep -i)[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	*	zoom level[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	^	words must be placed at the beginning of line[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	!	negate grep[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	?	count number of matching lines[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	?.	count number chars[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	??	show this help message[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	?ea	convert text into seven segment style ascii art[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	:s..e	show lines s-e[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	..	internal 'less'[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	...	internal 'hud' (like V_)[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	....	internal 'hud' in one line[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	:)	parse C-like output from decompiler[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	:))	code syntax highlight[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	<50	perform zoom to the given text width on the buffer[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	<>	xml indentation[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{:	human friendly indentation (yes, it's a smiley)[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{:..	less the output of {:[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{:...	hud the output of {:[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{}	json indentation[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{}..	less json indentation[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{}...	hud json indentation[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{=}	gron-like output (key=value)[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	{path}	json path grep[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	$	words must be placed at the end of line[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	[n]	show only column n[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	[n-m]	show column n to m[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	[n-]	show all columns starting from column n[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	[i,j,k]	show the columns i, j and k[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	i~:0	show first line of 'i' output[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	i~:-2	show the second to last line of 'i' output[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	i~:0..3	show first three lines of 'i' output[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	pd~mov	disasm and grep for mov[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	pi~[0]	show only opcode[0m
[command]~[modifier][word,word][endmodifier][[column]][:line]	modifier:[0m endmodifier:[0m column:[0m Examples:[0m	i~0x400$	show lines ending with 0x400[0m
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$	list all defined aliases
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$*	list all defined aliases and their values, with unprintable characters escaped
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$**	list all defined aliases and their values, with unprintable characters escaped , but if an alias contains unprintable characters, b64 encode it
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$foo:=123	alias for 'f foo=123'
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$foo-=4	alias for 'f foo-=4'
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$foo+=4	alias for 'f foo+=4'
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$foo	alias for 's foo' (note that command aliases can override flag resolution)
$alias[=cmd] [args...]	Alias commands and data (See ?$? for help on $variables)	$dis=base64:AAA=	alias $dis to the raw bytes from decoding this base64 string
